Stock Name,Basic industry,Index,Sector
ENDURANCE,Auto Components & Equipments,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Auto
EXIDEIND,Auto Components & Equipments,"NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY AUTO",Auto
GABRIEL,Auto Components & Equipments,NIFTY MICROCAP 250,Auto
JBMA,Auto Components & Equipments,"NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Auto
MINDACORP,Auto Components & Equipments,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Auto
MOTHERSON,Auto Components & Equipments,"NIFTY NEXT 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY AUTO",Auto
MSUMI,Auto Components & Equipments,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Capital Goods
RKFORGE,Auto Components & Equipments,"NIFTY SMALLCAP 50,NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Metals & Mining
SCHAEFFLER,Auto Components & Equipments,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Metals & Mining
SHRIPISTON,Auto Components & Equipments,NIFTY MICROCAP 250,Auto
SONACOMS,Auto Components & Equipments,"NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Auto
SUNDRMFAST,Auto Components & Equipments,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Auto
TIINDIA,Auto Components & Equipments,"NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Auto
UNOMINDA,Auto Components & Equipments,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Auto
VARROC,Auto Components & Equipments,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Auto
ZFCVINDIA,Auto Components & Equipments,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Auto
GGAUTO,Auto Dealer,,
TEJNAKSH,Auto Dealer,,
GGAUTO,Auto Dealer,,
BIKEWO,Auto Dealer,,
LANDMARK,Auto Dealer,NIFTY MICROCAP 250,Consumer Services
PVSL,Auto Dealer,NA,Consumer Services
VIVOBIOT,Biotechnology,,
514336,Biotechnology,,
539206,Biotechnology,,
3BBLACKBIO,Biotechnology,,
ADVENZYMES,Biotechnology,NIFTY MICROCAP 250,Healthcare
ANTHEM,Biotechnology,NA,Healthcare
507155,Breweries & Distilleries,,
CUPIDALBV,Breweries & Distilleries,,
TAHMARENT,Breweries & Distilleries,,
SHRIGANG,Breweries & Distilleries,,
