stock_name,symbol,industry,index,sector
IL&FS Inv.Manag.,IVC,Asset Management Company,NA,Financial Services
Nippon Life Ind.,NAM-INDIA,Asset Management Company,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Financial Services
UTI AMC,UTIAMC,Asset Management Company,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Financial Services
Amara Raja Ener.,ARE&M,Auto Components & Equipments,"NIFTY SMALLCAP 50,NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Auto
Asahi India Glas,ASAHIINDIA,Auto Components & Equipments,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Auto
ASK Automotive,ASKAUTOLTD,Auto Components & Equipments,NIFTY MICROCAP 250,Auto
Banco Products,BANCOINDIA,Auto Components & Equipments,NIFTY MICROCAP 250,Auto
Belrise Industri,BELRISE,Auto Components & Equipments,NA,Auto
Bharat Forge,BHARATFORG,Auto Components & Equipments,"NIFTY MIDCAP 50,NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY AUTO",Metals & Mining
Bosch,BOSCHLTD,Auto Components & Equipments,"NIFTY NEXT 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY AUTO",Auto
CIE Automotive,CIEINDIA,Auto Components & Equipments,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Auto
Craftsman Auto,CRAFTSMAN,Auto Components & Equipments,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Capital Goods
Endurance Tech.,ENDURANCE,Auto Components & Equipments,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Auto
Exide Inds.,EXIDEIND,Auto Components & Equipments,"NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY AUTO",Auto
Gabriel India,GABRIEL,Auto Components & Equipments,NIFTY MICROCAP 250,Auto
JBM Auto,JBMA,Auto Components & Equipments,"NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Auto
Minda Corp,MINDACORP,Auto Components & Equipments,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Auto
Samvardh. Mothe.,MOTHERSON,Auto Components & Equipments,"NIFTY NEXT 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY AUTO",Auto
Motherson Wiring,MSUMI,Auto Components & Equipments,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Capital Goods
Ramkrishna Forg.,RKFORGE,Auto Components & Equipments,"NIFTY SMALLCAP 50,NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Metals & Mining
Schaeffler India,SCHAEFFLER,Auto Components & Equipments,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Metals & Mining
Shriram Pistons,SHRIPISTON,Auto Components & Equipments,NIFTY MICROCAP 250,Auto
Sona BLW Precis.,SONACOMS,Auto Components & Equipments,"NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Auto
Sundram Fasten.,SUNDRMFAST,Auto Components & Equipments,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Auto
Tube Investments,TIINDIA,Auto Components & Equipments,"NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Auto
Uno Minda,UNOMINDA,Auto Components & Equipments,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Auto
Varroc Engineer,VARROC,Auto Components & Equipments,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Auto
ZF Commercial,ZFCVINDIA,Auto Components & Equipments,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Auto
Competent Auto,GGAUTO,Auto Dealer,,
Naksh Precious,TEJNAKSH,Auto Dealer,,
Resourceful Auto,GGAUTO,Auto Dealer,,
Bikewo Green,BIKEWO,Auto Dealer,,
Landmark Cars,LANDMARK,Auto Dealer,NIFTY MICROCAP 250,Consumer Services
Popular Vehicles,PVSL,Auto Dealer,NA,Consumer Services
Vivo Bio Tech,VIVOBIOT,Biotechnology,,
Genesis IBRC,514336,Biotechnology,,
Genomic Valley,539206,Biotechnology,,
Shree Ganesh Bio,3BBLACKBIO,Biotechnology,,
Advanced Enzyme,ADVENZYMES,Biotechnology,NIFTY MICROCAP 250,Healthcare
Anthem Bioscienc,ANTHEM,Biotechnology,NA,Healthcare
Jagatjit Inds.,507155,Breweries & Distilleries,,
Cupid Breweries,CUPIDALBV,Breweries & Distilleries,,
Tahmar Enterp.,TAHMARENT,Breweries & Distilleries,,
Shri Gang Indus,SHRIGANG,Breweries & Distilleries,,
Suraj Industries,SURAJ,Breweries & Distilleries,,
Winsome Brew.,526471,Breweries & Distilleries,,
Comfort Intech,531216,Breweries & Distilleries,,
Agribio Spirits,539546,Breweries & Distilleries,,
FratelliVineyard,FRATELLI,Breweries & Distilleries,,
Monika Alcobev,MONIKA,Breweries & Distilleries,,
Allied Blenders,ABDL,Breweries & Distilleries,NA,FMCG
Assoc.Alcohols,ASALCBR,Breweries & Distilleries,NA,FMCG
Aurangabad Dist.,AURDIS,Breweries & Distilleries,,
BCL Industries,BCLIND,Breweries & Distilleries,NA,FMCG
Globus Spirits,GLOBUSSPR,Breweries & Distilleries,NA,FMCG
G M Breweries,GMBREW,Breweries & Distilleries,NA,FMCG
IFB Agro Inds.,IFBAGRO,Breweries & Distilleries,NA,FMCG
India Glycols,INDIAGLYCO,Breweries & Distilleries,NIFTY MICROCAP 250,Chemicals
Piccadily Agro,PICCADIL,Breweries & Distilleries,NA,FMCG
Radico Khaitan,RADICO,Breweries & Distilleries,"NIFTY SMALLCAP 50,NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500,NIFTY FMCG",FMCG
Som Distilleries,SDBL,Breweries & Distilleries,NA,FMCG
Sula Vineyards,SULA,Breweries & Distilleries,NIFTY MICROCAP 250,FMCG
Tilaknagar Inds.,TI,Breweries & Distilleries,NIFTY MICROCAP 250,FMCG
United Breweries,UBL,Breweries & Distilleries,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY FMCG",FMCG
United Spirits,UNITDSPR,Breweries & Distilleries,"NIFTY NEXT 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY FMCG",FMCG
Informed Techn.,504810,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,
BNR Udyog,BNRUDY,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,
G-Tech Info.,532139,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,
Platinumone Bus.,543352,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,
Alldigi Tech,ALLDIGI,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),NA,Information Technology
Cadsys (India),CADSYS,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,
eClerx Services,ECLERX,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Financial Services
Firstsour.Solu.,FSL,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),"NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Information Technology
Hinduja Global,HGS,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),NA,Services
HRH Next,HRHNEXT,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,
Kandarp Digi,KANDARP,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,
One Point One,ONEPOINT,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),NA,Information Technology
Plada Infotech S,PLADAINFO,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,
RPSG Ventures,RPSGVENT,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),NA,Information Technology
