stock_name,symbol,industry,company_id,screener_url,status
Womancart,WOMANCART,E-Retail/ E-Commerce,1284535,https://www.screener.in/company/WOMANCART/consolidated/,success
Superior Indus.,SUPER,Edible Oil,3271,https://www.screener.in/company/SUPER/consolidated/,success
AWL Agri Busine.,AWL,Edible Oil,1275165,https://www.screener.in/company/AWL/consolidated/,success
Gokul Refoils,GOKUL,Edible Oil,1170,https://www.screener.in/company/GOKUL/consolidated/,success
Gokul Agro,GOKULAGRO,Edible Oil,1273279,https://www.screener.in/company/GOKULAGRO/consolidated/,success
KN Agri Resource,KNAGRI,Edible Oil,1275183,https://www.screener.in/company/KNAGRI/consolidated/,success
Kriti Nutrients,KRITINUT,Edible Oil,1836,https://www.screener.in/company/KRITINUT/consolidated/,success
Marico,MARICO,Edible Oil,2014,https://www.screener.in/company/MARICO/consolidated/,success
M K Proteins,MKPL,Edible Oil,1274059,https://www.screener.in/company/MKPL/consolidated/,success
N K Industries,NKIND,Edible Oil,2178,https://www.screener.in/company/NKIND/consolidated/,success
Patanjali Foods,PATANJALI,Edible Oil,2803,https://www.screener.in/company/PATANJALI/consolidated/,success
Ramdevbaba Sol.,RBS,Edible Oil,1284748,https://www.screener.in/company/RBS/consolidated/,success
Rajgor Castor,RCDL,Edible Oil,1284536,https://www.screener.in/company/RCDL/consolidated/,success
Raj Oil Mills,ROML,Edible Oil,2630,https://www.screener.in/company/ROML/consolidated/,success
Sundrop Brands,SUNDROP,Edible Oil,93,https://www.screener.in/company/SUNDROP/consolidated/,success
Arihant Academy,ARIHANTACA,Education,1275378,https://www.screener.in/company/ARIHANTACA/consolidated/,success
CL Educate,CLEDUCATE,Education,1273686,https://www.screener.in/company/CLEDUCATE/consolidated/,success
Compucom Soft.,COMPUSOFT,Education,694,https://www.screener.in/company/COMPUSOFT/consolidated/,success
Career Point Edu,CPEDU,Education,1285649,https://www.screener.in/company/CPEDU/consolidated/,success
Drone Destinatio,DRONE,Education,1284412,https://www.screener.in/company/DRONE/consolidated/,success
Educomp Sol.,EDUCOMP,Education,886,https://www.screener.in/company/EDUCOMP/consolidated/,success
Global Education,GLOBAL,Education,1273654,https://www.screener.in/company/GLOBAL/consolidated/,success
DSJ Keep Learn,KEEPLEARN,Education,460331,https://www.screener.in/company/KEEPLEARN/consolidated/,success
LCC Infotech,LCCINFOTEC,Education,1874,https://www.screener.in/company/LCCINFOTEC/consolidated/,success
Moxsh Overseas,MOXSH,Education,1275388,https://www.screener.in/company/MOXSH/consolidated/,success
MT Educare,MTEDUCARE,Education,2145,https://www.screener.in/company/MTEDUCARE/consolidated/,success
NIIT,NIITLTD,Education,2261,https://www.screener.in/company/NIITLTD/consolidated/,success
NIIT Learning,NIITMTS,Education,1284451,https://www.screener.in/company/NIITMTS/consolidated/,success
Tree House Edu.,TREEHOUSE,Education,3464,https://www.screener.in/company/TREEHOUSE/consolidated/,success
Vinsys IT Serv.,VINSYS,Education,1284433,https://www.screener.in/company/VINSYS/consolidated/,success
Zee Learn,ZEELEARN,Education,3789,https://www.screener.in/company/ZEELEARN/consolidated/,success
Panasonic Carbon,PANCARBON,Electrodes & Refractories,2396,https://www.screener.in/company/PANCARBON/consolidated/,success
Auro Impex,AUROIMPEX,Electrodes & Refractories,1284359,https://www.screener.in/company/AUROIMPEX/consolidated/,success
DE Nora India,DENORA,Electrodes & Refractories,776,https://www.screener.in/company/DENORA/consolidated/,success
Graphite India,GRAPHITE,Electrodes & Refractories,1197,https://www.screener.in/company/GRAPHITE/consolidated/,success
HEG,HEG,Electrodes & Refractories,1301,https://www.screener.in/company/HEG/consolidated/,success
IFGL Refractori.,IFGLEXPOR,Electrodes & Refractories,1274196,https://www.screener.in/company/IFGLEXPOR/consolidated/,success
Monolithisch Ind,MONOLITH,Electrodes & Refractories,1285484,https://www.screener.in/company/MONOLITH/consolidated/,success
Orient Ceratech,ORIENTCER,Electrodes & Refractories,2351,https://www.screener.in/company/ORIENTCER/consolidated/,success
Refractory Shap.,REFRACTORY,Electrodes & Refractories,1284768,https://www.screener.in/company/REFRACTORY/consolidated/,success
RHI Magnesita,RHIM,Electrodes & Refractories,2357,https://www.screener.in/company/RHIM/consolidated/,success
Royal Arc Ele.,ROYALARC,Electrodes & Refractories,1285330,https://www.screener.in/company/ROYALARC/consolidated/,success
Raghav Product.,RPEL,Electrodes & Refractories,1273330,https://www.screener.in/company/RPEL/consolidated/,success
SP Refractories,SPRL,Electrodes & Refractories,1275180,https://www.screener.in/company/SPRL/consolidated/,success
Vesuvius India,VESUVIUS,Electrodes & Refractories,3642,https://www.screener.in/company/VESUVIUS/consolidated/,success
Cyber Media Ind,CYBERMEDIA,Electronic Media,749,https://www.screener.in/company/CYBERMEDIA/consolidated/,success
Diligent Media,DNAMEDIA,Electronic Media,1274212,https://www.screener.in/company/DNAMEDIA/consolidated/,success
SAB Events,SABEVENTS,Electronic Media,1273488,https://www.screener.in/company/SABEVENTS/consolidated/,success
Sambhaav Media,SAMBHAAV,Electronic Media,2856,https://www.screener.in/company/SAMBHAAV/consolidated/,success
BSE,BSE,Exchange and Data Platform,1273635,https://www.screener.in/company/BSE/consolidated/,success
Indian Energy Ex,IEX,Exchange and Data Platform,1274182,https://www.screener.in/company/IEX/consolidated/,success
Multi Comm. Exc.,MCX,Exchange and Data Platform,2156,https://www.screener.in/company/MCX/consolidated/,success
GOCL Corpn.,GOCLCORP,Explosives,1260,https://www.screener.in/company/GOCLCORP/consolidated/,success
Prem. Explosives,PREMEXPLN,Explosives,2550,https://www.screener.in/company/PREMEXPLN/consolidated/,success
Solar Industries,SOLARINDS,Explosives,3115,https://www.screener.in/company/SOLARINDS/consolidated/,success
Nilachal Carbo,PANCARBON,Ferro & Silica Manganese,2396,https://www.screener.in/company/PANCARBON/consolidated/,success
Indian Metals,IMFA,Ferro & Silica Manganese,1447,https://www.screener.in/company/IMFA/consolidated/,success
Impex Ferro Tech,IMPEXFERRO,Ferro & Silica Manganese,1406,https://www.screener.in/company/IMPEXFERRO/consolidated/,success
Jainam Ferro,JAINAM,Ferro & Silica Manganese,1274974,https://www.screener.in/company/JAINAM/consolidated/,success
Maithan Alloys,MAITHANALL,Ferro & Silica Manganese,1979,https://www.screener.in/company/MAITHANALL/consolidated/,success
Owais Metal,OWAIS,Ferro & Silica Manganese,1284693,https://www.screener.in/company/OWAIS/consolidated/,success
QVC Exports,QVCEL,Ferro & Silica Manganese,1284932,https://www.screener.in/company/QVCEL/consolidated/,success
Shyam Century,SHYAMCENT,Ferro & Silica Manganese,1273021,https://www.screener.in/company/SHYAMCENT/consolidated/,success
Visa Steel,VISASTEEL,Ferro & Silica Manganese,3680,https://www.screener.in/company/VISASTEEL/consolidated/,success
Agro Phos India,AGROPHOS,Fertilizers,1273571,https://www.screener.in/company/AGROPHOS/consolidated/,success
Anya Polytech &,ANYA,Fertilizers,1285208,https://www.screener.in/company/ANYA/consolidated/,success
Aries Agro,ARIES,Fertilizers,237,https://www.screener.in/company/ARIES/consolidated/,success
Balaji Phos.,BALAJIPHOS,Fertilizers,1285341,https://www.screener.in/company/BALAJIPHOS/consolidated/,success
Chambal Fert.,CHAMBLFERT,Fertilizers,620,https://www.screener.in/company/CHAMBLFERT/consolidated/,success
Coromandel Inter,COROMANDEL,Fertilizers,715,https://www.screener.in/company/COROMANDEL/consolidated/,success
F A C T,FACT,Fertilizers,1006,https://www.screener.in/company/FACT/consolidated/,success
G S F C,GSFC,Fertilizers,1253,https://www.screener.in/company/GSFC/consolidated/,success
Khaitan Chemical,KHAICHEM,Fertilizers,1764,https://www.screener.in/company/KHAICHEM/consolidated/,success
Krishana Phosch.,KRISHANA,Fertilizers,1273647,https://www.screener.in/company/KRISHANA/consolidated/,success
Madras Fertilize,MADRASFERT,Fertilizers,1948,https://www.screener.in/company/MADRASFERT/consolidated/,success
Mangalore Chem.,MANGCHEFER,Fertilizers,1995,https://www.screener.in/company/MANGCHEFER/consolidated/,success
M B Agro Prod.,MBAPL,Fertilizers,1273482,https://www.screener.in/company/MBAPL/consolidated/,success
Nagarjuna Fert.,NAGAFERT,Fertilizers,1273385,https://www.screener.in/company/NAGAFERT/consolidated/,success
Natl.Fertilizer,NFL,Fertilizers,2205,https://www.screener.in/company/NFL/consolidated/,success
Nova Agritech,NOVAAGRI,Fertilizers,1284638,https://www.screener.in/company/NOVAAGRI/consolidated/,success
Paradeep Phosph.,PARADEEP,Fertilizers,1275228,https://www.screener.in/company/PARADEEP/consolidated/,success
Rama Phosphates,RAMAPHO,Fertilizers,2656,https://www.screener.in/company/RAMAPHO/consolidated/,success
R C F,RCF,Fertilizers,2684,https://www.screener.in/company/RCF/consolidated/,success
S P I C,SPIC,Fertilizers,3136,https://www.screener.in/company/SPIC/consolidated/,success
Zuari Agro Chem.,ZUARI,Fertilizers,249383,https://www.screener.in/company/ZUARI/consolidated/,success
Baweja Studios L,BAWEJA,Film Production,1284645,https://www.screener.in/company/BAWEJA/consolidated/,success
Cineline India,CINELINE,Film Production,658,https://www.screener.in/company/CINELINE/consolidated/,success
Connplex Cinemas,CONNPLEX,Film Production,1285592,https://www.screener.in/company/CONNPLEX/consolidated/,success
Mukta Arts,MUKTAARTS,Film Production,2154,https://www.screener.in/company/MUKTAARTS/consolidated/,success
Prit Nandy Comm.,PNC,Film Production,2575,https://www.screener.in/company/PNC/consolidated/,success
Picturepost Stu.,PPSL,Film Production,1284884,https://www.screener.in/company/PPSL/consolidated/,success
PVR Inox,PVRINOX,Film Production,2604,https://www.screener.in/company/PVRINOX/consolidated/,success
Tips Films,TIPSFILMS,Film Production,1275333,https://www.screener.in/company/TIPSFILMS/consolidated/,success
UFO Moviez,UFO,Film Production,1270842,https://www.screener.in/company/UFO/consolidated/,success
Vels Film,VELS,Film Production,1284324,https://www.screener.in/company/VELS/consolidated/,success
H U D C O,HUDCO,Financial Institution,1274074,https://www.screener.in/company/HUDCO/consolidated/,success
IFCI,IFCI,Financial Institution,1394,https://www.screener.in/company/IFCI/consolidated/,success
Indian Renewable,IREDA,Financial Institution,1284567,https://www.screener.in/company/IREDA/consolidated/,success
I R F C,IRFC,Financial Institution,1274825,https://www.screener.in/company/IRFC/consolidated/,success
Power Fin.Corpn.,PFC,Financial Institution,2522,https://www.screener.in/company/PFC/consolidated/,success
REC Ltd,RECLTD,Financial Institution,2809,https://www.screener.in/company/RECLTD/consolidated/,success
Tour. Fin. Corp.,TFCILTD,Financial Institution,3448,https://www.screener.in/company/TFCILTD/consolidated/,success
