stock_name,symbol,industry,url
Sagar Cements,SAGCEM,Cement & Cement Products,https://www.screener.in/company/SAGCEM/consolidated/
K C P,KCP,Cement & Cement Products,https://www.screener.in/company/KCP/consolidated/
Mangalam Cement,MANGLMCEM,Cement & Cement Products,https://www.screener.in/company/MANGLMCEM/
Sanghi Industrie,SANGHIIND,Cement & Cement Products,https://www.screener.in/company/SANGHIIND/
Deccan Cements,DECCANCE,Cement & Cement Products,https://www.screener.in/company/DECCANCE/
Sh. Digvijay Cem,SHREDIGCEM,Cement & Cement Products,https://www.screener.in/company/SHREDIGCEM/
Saurashtra Cem.,SAURASHCEM,Cement & Cement Products,https://www.screener.in/company/SAURASHCEM/consolidated/
NCL Industries,NCLIND,Cement & Cement Products,https://www.screener.in/company/NCLIND/
Kajaria Ceramics,KAJARIACER,Ceramics,https://www.screener.in/company/KAJARIACER/consolidated/
Nitco,NITCO,Ceramics,https://www.screener.in/company/NITCO/consolidated/
Somany Ceramics,SOMANYCERA,Ceramics,https://www.screener.in/company/SOMANYCERA/consolidated/
Asian Granito,ASIANTILES,Ceramics,https://www.screener.in/company/ASIANTILES/consolidated/
Orient Bell,ORIENTBELL,Ceramics,https://www.screener.in/company/ORIENTBELL/consolidated/
Exxaro Tiles,EXXARO,Ceramics,https://www.screener.in/company/EXXARO/consolidated/
Murudesh.Ceramic,MURUDCERA,Ceramics,https://www.screener.in/company/MURUDCERA/
Manoj Ceramic,544073,Ceramics,https://www.screener.in/company/544073/
Regency Ceramics,REGENCERAM,Ceramics,https://www.screener.in/company/REGENCERAM/
Restile Ceramics,515085,Ceramics,https://www.screener.in/company/515085/
Godfrey Phillips,GODFRYPHLP,Cigarettes & Tobacco Products,https://www.screener.in/company/GODFRYPHLP/consolidated/
Elitecon Inter.,539533,Cigarettes & Tobacco Products,https://www.screener.in/company/539533/consolidated/
VST Industries,VSTIND,Cigarettes & Tobacco Products,https://www.screener.in/company/VSTIND/
NTC Industries,526723,Cigarettes & Tobacco Products,https://www.screener.in/company/526723/consolidated/
Shanthala FMCG,SHANTHALA,Cigarettes & Tobacco Products,https://www.screener.in/company/SHANTHALA/
Raghunath Intl.,526813,Cigarettes & Tobacco Products,https://www.screener.in/company/526813/consolidated/
Larsen & Toubro,LT,Civil Construction,https://www.screener.in/company/LT/consolidated/
Rail Vikas,RVNL,Civil Construction,https://www.screener.in/company/RVNL/consolidated/
NBCC,NBCC,Civil Construction,https://www.screener.in/company/NBCC/consolidated/
IRB Infra.Devl.,IRB,Civil Construction,https://www.screener.in/company/IRB/consolidated/
