symbol,exchange,name,description,logoid,update_mode,type,typespecs,close,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,free_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector_tr,market,sector,AnalystRating,AnalystRating_tr,exchange_field,full_symbol
ADTECH,BSE,ADTECH,Adtech Systems Ltd.,adtech-systems-limited,delayed_streaming_900,stock,['common'],88,100,1,false,0,INR,2.8397802968330104,29156,1.2541401767048925,,INR,,,,,Electronic technology,india,Electronic Technology,Neutral,Neutral,BSE,BSE:ADTECH
ONTIC,BSE,ONTIC,Ontic Finserve Ltd.,ontic-finserve-limited,delayed_streaming_900,stock,['common'],1.52,100,1,false,0,INR,-9.523809523809518,1164070,0.22666477063771082,,INR,,,,,Finance,india,Finance,Neutral,Neutral,BSE,BSE:ONTIC
MIVENMACH,BSE,MIVENMACH,Miven Machine Tools Ltd,miven-machine-tools-ltd,delayed_streaming_900,stock,['common'],87.5,100,1,false,0,INR,-1.6853932584269662,10,0.13315579227696406,,INR,,,,,Producer manufacturing,india,Producer Manufacturing,Neutral,Neutral,BSE,BSE:MIVENMACH
USHAKIRA,BSE,USHAKIRA,Ushakiran Finance Limited,ushakiran-finance-ltd,delayed_streaming_900,stock,['common'],49.83,100,1,false,0,INR,4.949452401010955,2967,2.446203314370517,,INR,,,,,Finance,india,Finance,Neutral,Neutral,BSE,BSE:USHAKIRA
RRPDEFENSE,BSE,RRPDEFENSE,RRP Defense Ltd,euro-asia-exports-ltd,delayed_streaming_900,stock,['common'],624.8,100,5,false,0,INR,1.9998367480205697,257,0.08524894682721333,,INR,,,,,Distribution services,india,Distribution Services,Neutral,Neutral,BSE,BSE:RRPDEFENSE
DHOOTIN,BSE,DHOOTIN,Dhoot Industrial Finance Limited,dhoot-industrial-finance-ltd,delayed_streaming_900,stock,['common'],253,100,5,false,0,INR,-1.937984496124031,2653,3.629274965800274,,INR,,,,,Distribution services,india,Distribution Services,Neutral,Neutral,BSE,BSE:DHOOTIN
SALGUTI,BSE,SALGUTI,Salguti Industries Ltd,salguti-industries-ltd,delayed_streaming_900,stock,['common'],23.66,100,1,false,0,INR,-4.979919678714854,54,3.4615384615384617,,INR,,,,,Process industries,india,Process Industries,Neutral,Neutral,BSE,BSE:SALGUTI
BHASKAGR,BSE,BHASKAGR,Bhaskar Agrochemicals Ltd.,bhaskar-agrochemicals-ltd,delayed_streaming_900,stock,['common'],107.5,100,5,false,0,INR,-1.6918152720621804,429,0.4223272297696397,,INR,,,,,Process industries,india,Process Industries,Neutral,Neutral,BSE,BSE:BHASKAGR
GALLOPENT,BSE,GALLOPENT,Gallops Enterprise Ltd.,gallops-enterprise-ltd,delayed_streaming_900,stock,['common'],22.45,100,1,false,0,INR,4.5158286778398455,316,0.2160831509846827,,INR,,,,,Finance,india,Finance,Neutral,Neutral,BSE,BSE:GALLOPENT
ICL,BSE,ICL,Indo Cotspin Ltd,indo-cotspin-limited,delayed_streaming_900,stock,['common'],31,100,1,false,0,INR,0,856,0.6308962264150998,,INR,,,,,Process industries,india,Process Industries,Neutral,Neutral,BSE,BSE:ICL
